Dataset,Cluster_ground_truth
glass,1
balance-scale,4
parkinsons_full,1
parkinsons,1
iris,4
page-blocks,1
ecoli,1
machine,1
bupa,2
wine,1
segmentation_tra,1
segmentation_tes,1
transfusion_full,4
yeast,1
qsar_fish_toxicity,1
new-thyroid_full,1
breast-cancer-wisconsin,1
pendigits_tes,4
pendigits_tra,4
BreastTissue,1
vowel,1
letter-recognition,4
qsar_aquatic_toxicity,2
haberman_full,0
vehicle,1
child,3
earthquake,1
barley,3
magic-niab,3
asia,1
sangiovese,2
healthcare,3
hailfinder,3
survey,1
cancer,1
alarm,3
ecoli70,4
sachs,4
water,3
insurance,3
mildew,3
