Dataset,Cluster_comparison
synthetic_dataset_25,1
synthetic_dataset_88,1
synthetic_dataset_93,1
synthetic_dataset_96,1
synthetic_dataset_48,1
synthetic_dataset_59,1
synthetic_dataset_64,1
synthetic_dataset_65,1
synthetic_dataset_32,1
synthetic_dataset_98,1
synthetic_dataset_62,1
synthetic_dataset_37,1
synthetic_dataset_77,1
synthetic_dataset_39,2
synthetic_dataset_29,1
synthetic_dataset_51,1
synthetic_dataset_75,1
synthetic_dataset_38,1
synthetic_dataset_99,1
synthetic_dataset_30,1
synthetic_dataset_70,1
synthetic_dataset_28,1
synthetic_dataset_4,1
synthetic_dataset_20,1
synthetic_dataset_50,1
synthetic_dataset_58,1
synthetic_dataset_92,1
synthetic_dataset_44,1
synthetic_dataset_94,1
synthetic_dataset_9,1
synthetic_dataset_41,1
synthetic_dataset_67,1
synthetic_dataset_23,1
synthetic_dataset_52,1
synthetic_dataset_60,1
synthetic_dataset_6,1
synthetic_dataset_12,1
synthetic_dataset_63,1
synthetic_dataset_80,1
synthetic_dataset_36,1
synthetic_dataset_84,1
synthetic_dataset_1,3
synthetic_dataset_90,1
synthetic_dataset_76,1
synthetic_dataset_78,1
synthetic_dataset_14,1
synthetic_dataset_73,1
synthetic_dataset_72,1
synthetic_dataset_27,2
synthetic_dataset_7,1
synthetic_dataset_55,1
synthetic_dataset_8,1
synthetic_dataset_89,1
synthetic_dataset_66,1
synthetic_dataset_83,1
synthetic_dataset_16,1
synthetic_dataset_82,1
synthetic_dataset_3,1
synthetic_dataset_87,1
synthetic_dataset_97,1
synthetic_dataset_53,1
synthetic_dataset_19,1
synthetic_dataset_85,1
synthetic_dataset_2,1
synthetic_dataset_81,1
synthetic_dataset_34,1
synthetic_dataset_42,1
synthetic_dataset_61,1
synthetic_dataset_31,1
synthetic_dataset_86,1
synthetic_dataset_33,1
synthetic_dataset_17,1
synthetic_dataset_74,1
synthetic_dataset_15,1
synthetic_dataset_18,1
synthetic_dataset_45,1
synthetic_dataset_35,1
synthetic_dataset_13,1
synthetic_dataset_49,1
synthetic_dataset_54,1
synthetic_dataset_79,1
synthetic_dataset_47,1
synthetic_dataset_21,1
synthetic_dataset_0,1
synthetic_dataset_91,1
synthetic_dataset_10,1
synthetic_dataset_46,1
synthetic_dataset_69,1
synthetic_dataset_68,1
synthetic_dataset_95,1
synthetic_dataset_22,1
synthetic_dataset_43,1
synthetic_dataset_5,4
synthetic_dataset_11,1
synthetic_dataset_57,1
synthetic_dataset_26,1
synthetic_dataset_56,1
synthetic_dataset_71,5
synthetic_dataset_24,1
synthetic_dataset_40,1
