Dataset,Cluster_comparison
glass,4
balance-scale,4
parkinsons,4
parkinsons_full,4
iris,4
page-blocks,3
ecoli,4
machine,1
bupa,4
wine,4
segmentation_tes,4
segmentation_tra,4
transfusion_full,3
yeast,4
qsar_fish_toxicity,4
new-thyroid_full,4
breast-cancer-wisconsin,4
pendigits_tes,4
pendigits_tra,4
BreastTissue,2
vowel,4
letter-recognition,5
qsar_aquatic_toxicity,4
haberman_full,4
vehicle,4
child,4
earthquake,4
barley,4
magic-niab,4
asia,4
sangiovese,4
healthcare,3
hailfinder,3
survey,4
cancer,4
alarm,4
ecoli70,4
sachs,4
water,4
insurance,4
mildew,4
