,synthetic_dataset_25,synthetic_dataset_88,synthetic_dataset_93,synthetic_dataset_96,synthetic_dataset_48,synthetic_dataset_59,synthetic_dataset_64,synthetic_dataset_65,synthetic_dataset_32,synthetic_dataset_98,synthetic_dataset_62,synthetic_dataset_37,synthetic_dataset_77,synthetic_dataset_39,synthetic_dataset_29,synthetic_dataset_51,synthetic_dataset_75,synthetic_dataset_38,synthetic_dataset_99,synthetic_dataset_30,synthetic_dataset_70,synthetic_dataset_28,synthetic_dataset_4,synthetic_dataset_20,synthetic_dataset_50,synthetic_dataset_58,synthetic_dataset_92,synthetic_dataset_44,synthetic_dataset_94,synthetic_dataset_9,synthetic_dataset_41,synthetic_dataset_67,synthetic_dataset_23,synthetic_dataset_52,synthetic_dataset_60,synthetic_dataset_6,synthetic_dataset_12,synthetic_dataset_63,synthetic_dataset_80,synthetic_dataset_36,synthetic_dataset_84,synthetic_dataset_1,synthetic_dataset_90,synthetic_dataset_76,synthetic_dataset_78,synthetic_dataset_14,synthetic_dataset_73,synthetic_dataset_72,synthetic_dataset_27,synthetic_dataset_7,synthetic_dataset_55,synthetic_dataset_8,synthetic_dataset_89,synthetic_dataset_66,synthetic_dataset_83,synthetic_dataset_16,synthetic_dataset_82,synthetic_dataset_3,synthetic_dataset_87,synthetic_dataset_97,synthetic_dataset_53,synthetic_dataset_19,synthetic_dataset_85,synthetic_dataset_2,synthetic_dataset_81,synthetic_dataset_34,synthetic_dataset_42,synthetic_dataset_61,synthetic_dataset_31,synthetic_dataset_86,synthetic_dataset_33,synthetic_dataset_17,synthetic_dataset_74,synthetic_dataset_15,synthetic_dataset_18,synthetic_dataset_45,synthetic_dataset_35,synthetic_dataset_13,synthetic_dataset_49,synthetic_dataset_54,synthetic_dataset_79,synthetic_dataset_47,synthetic_dataset_21,synthetic_dataset_0,synthetic_dataset_91,synthetic_dataset_10,synthetic_dataset_46,synthetic_dataset_69,synthetic_dataset_68,synthetic_dataset_95,synthetic_dataset_22,synthetic_dataset_43,synthetic_dataset_5,synthetic_dataset_11,synthetic_dataset_57,synthetic_dataset_26,synthetic_dataset_56,synthetic_dataset_71,synthetic_dataset_24,synthetic_dataset_40
synthetic_dataset_25,0.0,7000.393098051451,7000.389323638456,7000.171588398318,7000.428598857645,6999.012253008959,18670933.448256426,7000.2918917784145,7000.423364410756,7000.184491028889,7000.202245579491,6951.967332615964,2680.154226954241,5.34568110047578e+40,7000.453365507696,6998.158035253102,6998.433850457442,6984.44946076426,6999.5753909844425,7000.101579531405,6992.3746035524255,7000.172837101056,178121912265.22397,6987.085188013761,7000.037594363808,6999.990328272663,126244610.45827995,1360456.344692147,7000.344945875344,7000.1806465086365,18264238.825837664,7000.343726643993,7000.416863841395,110337454.60537766,71537770.39843987,6999.876850255542,6999.927631735461,6882.8869074937675,7000.267783680947,7000.2006448350385,6981.731355336118,6.6046439064802795e+41,6998.852284274967,6994.178552032267,6994.339285440728,6995.352485619117,1727404346445432.8,6999.913684698188,9.621890470910783e+40,6999.6385241823245,6999.878438481762,7000.11760906775,6989.704318188906,7000.330840945697,6988.1489247668405,7000.251191367824,6999.698918501577,165378.1248454429,7000.227643895361,7000.291851049895,7000.310022808852,6525.902490723332,6997.394840145208,6999.967088978823,6999.8207278800755,6086.620141568859,6999.982699244695,5586.385717025737,6997.799859433652,6993.518202334664,7000.145216978132,6998.617404929875,6986.23686125499,1.145017389781266e+22,6999.720916120057,6984.232096850269,6992.524439865031,7000.329137471784,24970091024.688133,7000.135248519791,7000.450760476914,6997.635439209424,7000.014356526394,7000.230352334169,6821.473127046604,6998.737909656065,6999.859703164118,9.243659888580403e+18,6999.429248944826,6995.294206226931,7000.378618119856,6999.14875981148,3.541965362600793e+41,7000.101680008176,7000.109446952127,2465.3365993977386,7000.247586977978,1.410529825824019e+43,7000.406599726167,7000.445423164894
synthetic_dataset_88,7000.393098051451,0.0,2.891896469131334,11.784872864012383,3.7096299470639162,4.114495357258215,18677880.95921341,3.156582627515393,2.593251815120936,22.075164690353542,3.8033968472721895,418.9767970008805,7805.727321039162,5.34568110047578e+40,3.6134912047864693,11.08085020409587,7.80579428166734,70.96027693853009,20.01510470092861,3.43177314607811,29.880821002440452,18.072626634461308,178121916135.47345,38.57591871503225,24.52129414674347,6.535299335233798,126251610.6348883,1367454.5998879708,3.5298179842763266,4.520543088991523,18271239.00400514,3.2534217046411023,2.9443270384542815,110344340.97414872,71542405.75691655,6.814604935781933,18.648343449734412,263.78695288732445,2.739046128853478,11.319992156601653,24.684139910303404,6.6046439064802795e+41,21.262221492983947,155.03715124829552,53.87909541239608,15.235862282667197,1727404346452289.5,3.971223899819101,9.621890470910783e+40,19.429422714277862,3.4192533927941926,14.191393196052458,372.31154008640965,9.346215432334132,71.89286218583793,13.52327521304858,3.494911458785875,172373.8710594383,3.5169464969168165,11.850910772907609,6.103666043800446,523.5974540871773,12.479227170105377,3.699520027661423,9.459104614411606,11094.858830093017,8.32457038984232,2610.5857799506703,23.001090816292656,11.395093337758842,3.338098936641626,14.366233655458243,16.876767663469714,1.145017389781266e+22,5.691111401333507,326.68914624851203,20.884826098432704,2.631143905121313,24970093490.964207,2.931751783916037,3.3740667487272447,11.381631048226382,5.921697334596595,3.1095280608959475,283.03131975918564,8.410331083457223,6.440440548258732,9.243659888580411e+18,7.138768569501228,6.114271558899265,2.9701479795650334,10.134319314191824,3.541965362600793e+41,4.50035804323574,11.266744173964275,4565.641511353182,10.80541376983827,1.410529825824019e+43,3.0611279623867524,3.4276445750820064
synthetic_dataset_93,7000.389323638456,2.891896469131334,0.0,13.084872601254524,2.4945856828262865,3.6592614477960357,18677880.95604969,2.29671812596816,2.1134288276362576,23.631031306651384,4.618655355197768,420.4670372623465,7805.707842142292,5.34568110047578e+40,2.009677056594932,12.114558147166768,8.283984405758048,72.03950708028646,20.720205718475857,3.1515263621610154,30.70770169848013,19.635015858606234,178121916137.01672,39.324047115368494,26.04649693858286,7.805357186426163,126251610.61837006,1367454.5812134773,2.148669672310012,5.194474391504214,18271238.987635892,3.5807449008953873,2.360850592310473,110344340.9739551,71542407.48309675,7.801554431153037,19.527029619857913,264.6089113029078,2.7300117746042774,12.691569364848583,24.852288894115446,6.6046439064802795e+41,22.606668513287733,156.60933091204785,55.61440298899843,16.068065820276455,1727404346452290.8,4.053280607919042,9.621890470910783e+40,21.066159862268144,2.6876654560778754,15.669046966352967,373.4033164773161,10.520266955983342,73.26091596055916,15.227463646312316,2.8486124574360945,172373.85953883096,2.2607466090575943,13.17255601129556,7.3356753653294655,523.5892117440845,13.552688248886776,4.007212194350388,11.032758606529475,11095.01282540475,9.5591583780845,2610.650943978177,24.669131448327146,12.069918150029057,1.9518482832970057,15.29082435255285,17.19621225975981,1.145017389781266e+22,6.483271755979281,328.09491570431635,21.817231731669423,2.6659166116042816,24970093491.532078,2.6020101512998757,2.072362161862055,12.414585186473808,7.096518620437079,1.783604254663764,283.3079283888358,9.124548489267674,7.619407110306903,9.243659888580401e+18,8.346246708406548,5.909019903231829,2.190519805630149,11.055745516772246,3.541965362600793e+41,3.4463946978996303,12.949759273265032,4565.6858678022745,12.313643646105033,1.410529825824019e+43,3.8253404219837375,1.8681993217179185
synthetic_dataset_96,7000.171588398318,11.784872864012383,13.084872601254524,0.0,13.690461651085531,12.032451185952981,18677880.89025232,12.922875735446341,11.96467865864066,16.533971601917926,10.052098716845844,411.9022111417022,7805.070202830222,5.34568110047578e+40,13.844825681198794,10.187762042946918,12.163657915739556,65.41027959282383,16.25395999428155,12.609225040630031,25.052687046922564,9.820274377761098,178121916124.81577,34.74329183550136,13.512193932898299,9.128609530070378,126251610.36745259,1367454.2163276956,13.201139386924066,10.750695217691199,18271238.736447483,11.711045365569595,11.96293288103579,110344340.94178365,71542397.89598523,7.691079728428642,14.728260989059171,261.42297666023774,11.667576607876706,12.507647100093061,24.578523187687377,6.6046439064802795e+41,20.635405162602435,144.00498838583297,45.8669869853408,15.289088119382816,1727404346452290.5,12.819836134866614,9.621890470910783e+40,16.958223675967556,12.539034935094488,10.324893246162347,366.2939322910565,4.6857668901696305,66.39168325162609,7.994801461513626,12.291769006304643,172373.4118483728,13.121726865637843,4.097809211287552,9.23348097120735,522.7060278599259,13.01567202974928,11.652555190060141,6.8088895763913095,11094.821141417273,10.497950153396381,2608.5120399605253,16.963321232439505,18.03093292100798,13.394737433399797,16.296496853829257,21.910134582324588,1.145017389781266e+22,8.90065745309761,315.3267608979434,19.79550049307023,12.018164661365825,24970093487.0003,12.227117680066451,13.502511575012733,13.867561701978943,7.81344656657985,13.198789179865154,279.7306242493883,11.30595018126074,9.466500594023744,9.2436598885804e+18,7.840965987398199,15.651806662131204,12.833605355527276,9.532378234019442,3.541965362600793e+41,13.220433779853847,9.123363919208156,4565.433035897543,8.444248889265076,1.410529825824019e+43,10.117663102616131,13.786645730009576
synthetic_dataset_48,7000.428598857645,3.7096299470639162,2.4945856828262865,13.690461651085531,0.0,4.525766368689448,18677880.97503284,2.8307270790610874,3.052535053844101,24.150100596589,5.39370701768837,421.1118147847139,7805.8083879623155,5.34568110047578e+40,2.3281841361865157,12.790529329986889,8.934203546115496,72.7092086011348,21.446000806323386,3.7683570776015927,31.423949569325504,20.244535143077087,178121916137.60095,39.89842967784179,26.61197690221809,8.548058109780406,126251610.66385742,1367454.6410695752,2.879918089507734,5.9106325322520785,18271239.033014785,4.442986161393256,3.413701240211214,110344340.98360409,71542408.11471868,8.65352011727606,20.26260401662904,264.9053745745001,3.6409966284081094,13.270910284698425,25.165065150428507,6.6046439064802795e+41,23.110421741808306,157.16922116019714,56.29268214004742,16.70100434366834,1727404346452282.5,4.809700793983009,9.621890470910783e+40,21.60305410634073,3.285537351464335,16.372322205539717,374.0289768779877,11.171984096616404,73.87958771553332,15.848479256660951,3.633478796121532,172373.92582254668,2.7084291768138646,13.785917693445068,7.988722483479532,523.7282554375895,14.296479497404984,4.663671029730467,11.7777326092032,11095.016664765337,10.236509816176495,2610.9132962215504,25.398478513977192,12.564393931361895,2.5771577460438655,15.708082081342281,17.5256712408357,1.145017389781266e+22,7.438709240754134,328.6598186681606,22.418775698050684,3.5236189117337564,24970093491.681286,3.3704882472348996,2.337049509956644,13.145408451063677,7.82856532669883,2.6048211172880307,283.7332886449813,9.84280697486573,8.26900059681283,9.243659888580403e+18,9.120311616193886,6.544500636592444,2.7609378902944055,11.87195061974225,3.541965362600793e+41,3.9036115883461413,13.625866134102173,4565.723362594097,13.094691242650441,1.410529825824019e+43,4.507236062688899,2.350286199149748
synthetic_dataset_59,6999.012253008959,4.114495357258215,3.6592614477960357,12.032451185952981,4.525766368689448,0.0,18677880.172205254,3.828372908784966,3.274677542417461,23.17224866743991,4.422568096317262,417.8590721306513,7803.894887383552,5.34568110047578e+40,4.191044849531694,9.834272314192688,6.0095586390736635,69.50257909828512,19.120477238749693,4.097692978991237,28.17525984319051,18.84558305027068,178121916134.46716,36.945356354111404,24.734071196636666,6.996448308515907,126251609.1566678,1367452.952056692,3.8051168912477435,5.260142886189784,18271237.525885876,4.448123501310856,3.320866586220016,110344340.56880495,71542404.87157743,6.436476774173977,18.066737001971415,262.9170122497354,3.1917662758132175,12.247097550731901,22.761720201615667,6.6046439064802795e+41,21.273375712185477,154.19341904169252,53.12673357599569,14.05565763372408,1727404346452282.8,4.676637174225112,9.621890470910783e+40,20.01366005485911,3.1625611395150393,14.545580895240047,370.7978922406779,9.942974760900976,70.84325540013376,14.461816443566075,2.7176750471928925,172372.1702670093,3.704761833455533,12.461812978473745,7.090059283981431,521.6624694401168,11.651683907212966,4.047566598796449,9.612132169885705,11094.167602899119,8.978181311613936,2608.4342673657798,22.33466512597035,11.581556458983728,3.7365942528508054,14.145266963477043,15.984906936096191,1.145017389781266e+22,5.054402941137509,325.5937789105541,19.8945280634757,3.726877563785075,24970093490.01989,3.389400881596562,4.135414235126997,10.537154363977956,6.114237409562387,3.5807365468074064,280.88502919742876,7.265502629550625,6.709452325675891,9.243659888580403e+18,6.653913623264332,5.992420274933781,3.838884879366953,9.156679741257404,3.541965362600793e+41,4.332815173043926,12.15667036204205,4564.252353564208,11.512765053850762,1.410529825824019e+43,4.546077407733619,4.132727589599234
synthetic_dataset_64,18670933.448256426,18677880.95921341,18677880.95604969,18677880.89025232,18677880.97503284,18677880.172205254,0.0,18677880.92351794,18677880.97190123,18677880.898694694,18677880.899865054,18677853.967464875,18671014.786254905,5.34568110047578e+40,18677880.979422662,18677879.937284913,18677879.86101463,18677871.7246927,18677880.69362248,18677880.79861988,18677877.26062686,18677880.892595697,178111781617.88004,18677874.44510239,18677880.8543362,18677880.819464877,107671140.82104775,17501839.664308306,18677880.947366025,18677880.887503404,5384132.451561358,18677880.950272713,18677880.968629733,91763769.8276034,76550244.66724846,18677880.762519587,18677880.81097393,18677757.91768807,18677880.919657066,18677880.91071346,18677867.249083582,6.6046439064802795e+41,18677880.267995868,18677878.308303487,18677877.43175885,18677878.587836727,1727404327871701.0,18677880.746963702,9.621890470910783e+40,18677880.687625993,18677880.741507467,18677880.87877371,18677877.255730163,18677880.9419416,18677873.081728607,18677880.921198957,18677880.552831914,18508957.207667295,18677880.858636193,18677880.932213116,18677880.94178353,18677445.10690088,18677879.20156365,18677880.791581836,18677880.76266848,18670939.48632567,18677880.79846097,18676117.37115304,18677879.926499594,18677875.382111397,18677880.78098204,18677880.126989406,18677867.257514197,1.1450173897812988e+22,18677880.674682263,18677874.92152748,18677876.64413269,18677880.934089873,24963539947.73355,18677880.851758707,18677880.98178894,18677879.484712213,18677880.815303087,18677880.881159388,18677742.728745822,18677880.296943307,18677880.74132992,9.243659888568113e+18,18677880.475462608,18677876.069316786,18677880.955984578,18677880.528719105,3.541965362600793e+41,18677880.864067767,18677880.87423083,18673327.825163987,18677880.918259244,1.410529825824019e+43,18677880.96814636,18677880.977803115
synthetic_dataset_65,7000.2918917784145,3.156582627515393,2.29671812596816,12.922875735446341,2.8307270790610874,3.828372908784966,18677880.92351794,0.0,2.7035911389035796,23.324634134396927,4.4363507807288824,420.1550736265517,7805.526349446507,5.34568110047578e+40,2.623274261671055,11.772159528535676,7.953951389142096,71.64831444348786,20.441823176858865,3.076962159646879,30.419795648291025,19.40147807627339,178121916136.78723,38.92643076130326,25.784332934350516,7.551287980618874,126251610.51691553,1367454.4508152695,2.568559225952058,4.929207544434688,18271238.88585053,3.5481415340523235,2.9990214394763193,110344340.95461115,71542407.1964587,7.681884907722796,19.282774892619756,264.1730434032898,2.967021954197389,12.270414499046902,24.560106713748585,6.6046439064802795e+41,22.14146366652174,156.28172663717928,55.296131609504435,15.701742480032676,1727404346452290.8,3.8910606209528558,9.621890470910783e+40,20.72027102529046,2.703382851725138,15.3312101806057,373.05200246345925,10.464046021724984,72.77657099258157,14.929754033944723,2.981739664844925,172373.70630065366,2.47465087069702,13.029127459058364,7.077911067785779,523.3680805006499,13.15517116364157,3.75601677032788,10.754763262658056,11094.919232412249,9.314571539073498,2610.336381874467,24.31019489743288,11.841371069018862,2.4158245899692554,14.85065123298997,16.87324867071347,1.145017389781266e+22,6.499749709162349,327.8864982570615,21.424199387768052,2.8930593704014433,24970093491.289886,2.6165699476868634,2.4940884422355043,12.004063981926473,6.896063169017698,2.280059287709563,282.9179594560945,8.92905428103812,7.330888598902093,9.24365988858041e+18,8.165491668934473,6.002427886869473,2.536357525580332,10.834594993759636,3.541965362600793e+41,3.574370415040978,12.624511087134726,4565.578229340008,12.105017456860685,1.410529825824019e+43,4.044062701939678,2.572512032026449
synthetic_dataset_32,7000.423364410756,2.593251815120936,2.1134288276362576,11.96467865864066,3.052535053844101,3.274677542417461,18677880.97190123,2.7035911389035796,0.0,22.999249220753143,3.9764443291963874,419.67606516784446,7805.761456965158,5.34568110047578e+40,2.621613998898468,11.498273375948358,7.905546966568019,71.49054192352885,20.449257603443755,3.367290078502521,30.162686065923257,18.731840490811507,178121916135.89716,39.07183543986036,24.948346934128445,7.155019899938232,126251610.65316455,1367454.6242704636,2.7928657181536853,4.732365777339246,18271239.02250602,3.4597848005594876,1.4182895970517861,110344340.98197089,71542406.58014996,6.886997458208996,18.975239690792222,264.56703145385904,2.16760002691232,12.31324687509218,24.889133538434063,6.6046439064802795e+41,22.35333839250397,155.55708085368354,54.69626159395996,15.831820610210945,1727404346452290.8,4.338586365672462,9.621890470910783e+40,20.642178328138055,2.8731054721321634,14.881130212851343,372.789313615289,9.35311961558654,72.74091519606046,14.312882831079987,2.89042555066855,172373.9077911557,2.6802754593445832,12.056712391096937,6.693158329945911,523.643497100647,13.18303217323229,3.901641138266117,10.168658533320512,11095.033294006094,9.065997295761479,2610.667672854632,23.928034768607084,12.152927338264979,2.532881221914012,15.197652426606412,17.272064627926902,1.145017389781266e+22,5.633901100192909,326.92919767861133,21.679730026064522,2.4130308342657436,24970093491.019,2.641854812217941,2.4857110648378984,12.057404459012794,6.271727966725541,2.342360466502755,283.1880552683367,8.687074229556393,6.988912454015536,9.243659888580407e+18,7.547279370761104,6.0683776242038805,2.3981117308356796,10.342876681228292,3.541965362600793e+41,3.9595596910919038,12.327477069554869,4565.726692715619,11.467683706025076,1.410529825824019e+43,2.9414499423286116,2.420502374855345
synthetic_dataset_98,7000.184491028889,22.075164690353542,23.631031306651384,16.533971601917926,24.150100596589,23.17224866743991,18677880.898694694,23.324634134396927,22.999249220753143,0.0,20.249996530203,409.2645043065648,7805.160475283015,5.34568110047578e+40,24.458810734804143,21.12230961288629,22.758058435056295,65.68987153803378,24.107692412311508,22.559754982194395,31.79912731564454,9.41564097803591,178121916120.15292,38.301401428333506,16.949620397483404,17.806592936119944,126251610.39735632,1367454.2552430555,23.800152643639468,19.87916816680802,18271238.765256353,21.579868300851047,23.228526332893377,110344340.94529885,71542394.21495253,19.9879036557351,22.848968284537406,252.6964823742097,22.563921682089177,19.281265147891002,33.760610710168045,6.6046439064802795e+41,20.070473468532903,138.7145460293509,45.59506260343863,23.248888371966967,1727404346452290.2,21.690316789463623,9.621890470910783e+40,14.533874974713719,23.34900367381367,18.877537598151168,364.2029775939007,17.899209349249695,64.21829073645773,14.705921796960352,23.19418718561468,172373.45200230725,23.927380352151445,16.2329005977997,20.364800303869675,523.2165661608283,20.178895635959865,21.52560703787202,17.381025633989456,11094.668438560138,16.668969072400113,2608.7310557094243,20.07557687145585,23.36004974479745,23.925505324245957,18.63466350001794,29.322458132356168,1.145017389781266e+22,20.95787921849627,312.6153696053308,22.525411284139782,22.30201099329877,24970093484.249435,22.547154147913908,23.988416282968764,21.74944524886087,19.368834680709227,23.747729514133336,280.3326395754328,22.28516780022795,18.433034397847948,9.243659888580401e+18,19.53233946632031,25.695907893240943,23.105230080207775,21.113234280987175,3.541965362600793e+41,23.53576086426145,15.86018467673174,4565.4480325199065,18.16859080984443,1.410529825824019e+43,21.277043965474935,24.357862185350672
